epoch,train_loss,test_loss
1,2.6889431066730274,1.6650152461869376
2,1.2971357894241164,0.7067674398422241
3,1.235100463517576,2.34494491985866
4,1.1036572596482497,0.6352786379201072
5,1.0301000580288584,0.4332843912499292
